UVINDEX: version 7-apr-2012

Summary listing for data-set 13co.carmacell1_uv6to1000_nrobm16.all

       Time        Source        Antennas Spectral Wideband  Freq  Record
                    Name                  Channels Channels Config   No.

80JAN01:00:00:00.0 BS                2         2        0      1       1
80JAN01:00:00:00.0 BS                2         2        0      1   65337
80JAN01:00:00:00.0 BS                2         2        0      1  130673
80JAN01:00:00:00.0 BS                2         2        0      1  196009
80JAN01:00:00:00.0 BS                2         2        0      1  261345
80JAN01:00:00:00.0 BS                2         2        0      1  326681
80JAN01:00:00:00.0 BS                2         2        0      1  392017
80JAN01:00:00:00.0 BS                2         2        0      1  457353
80JAN01:00:00:00.0 BS                2         2        0      1  522689
80JAN01:00:00:00.0 BS                2         2        0      1  588025
80JAN01:00:00:00.0 BS                2         2        0      1  653361
80JAN01:00:00:00.0 BS                2         2        0      1  718697
80JAN01:00:00:00.0 BS                2         2        0      1  784033
80JAN01:00:00:00.0 BS                2         2        0      1  849369
80JAN01:00:00:00.0 BS                2         2        0      1  914705
80JAN01:00:00:00.0 BS                2         2        0      1  980041
80JAN01:00:00:00.0 BS                2         2        0      1 1045377
80JAN01:00:00:00.0 BS                2         2        0      1 1110713
80JAN01:00:00:00.0 BS                2         2        0      1 1176049
80JAN01:00:00:00.0 BS                2         2        0      1 1241385
80JAN01:00:00:00.0 BS                2         2        0      1 1306721
80JAN01:00:00:00.0 BS                2         2        0      1 1372057
80JAN01:00:00:00.0 BS                2         2        0      1 1437393
80JAN01:00:00:00.0 BS                2         2        0      1 1502729
80JAN01:00:00:00.0 BS                2         2        0      1 1568065
80JAN01:00:00:00.0 BS                2         2        0      1 1633401
80JAN01:00:00:00.0 BS                2         2        0      1 1698737
80JAN01:00:00:00.0 BS                2         2        0      1 1764073
80JAN01:00:00:00.0 BS                2         2        0      1 1829409
80JAN01:00:00:00.0 BS                2         2        0      1 1894745
80JAN01:00:00:00.0 BS                2         2        0      1 1960081
80JAN01:00:00:00.0 BS                2         2        0      1 2025417
80JAN01:00:00:00.0 BS                2         2        0      1 2090753
